Num,Name,Time Taken,Date Started,Date Completed,Platform,,,
1,Elden Ring ,40 Hours,Jul-24,"Friday, 3 January 2025",PC (Steam),,,
2,The Legend Of Zelda Twitlight Princess HD,29 Hours,"Sunday, 5 January 2025","Sunday, 26 January 2025",Wii U,,,
3,Ultimate Spider-man,6 Hours,"Wednesday, 29 January 2025","Saturday, 1 February 2025",PS2,,,
4,Spider-man 2 (100%),36 Hours,"Saturday, 1 February 2025","Wednesday, 12 March 2025",PC,,,
5,Cars the video game,6 Hours?,"Monday, 10 March 2025","Thursday, 13 March 2025",PS2 (on PS3),,,
6,Mirrors Edge,3 Hours,26/03/2025,11/04/2025,PC (EA Play),,,
7,Dark Souls,?,,,PS4,,,
8,Elden Ring Nightreign,,29/05/2025,,PC (Steam),,,
9,Silent Hill,7 Hours,31/05/2025,15/07/2025,PS1 (Pirate),,,
,THPS All Games Playthrough (THPS 5 don’t exist),,,,,,, 
10,Tony Hawks Pro Skater,3 Hours?,17/06/2025,19/06/2025,PS1,,,
11,Tony Hawks Pro Skater 2,4 Hours?,19/06/2025,22/06/2025,PS1,,,
12,Tony Hawks Pro Skater 3,6 Hours?,22/06/2025,22/06/2025,Gamecube,,,
13,Tony Hawks Pro Skater 4,Many,23/06/2025,06/07/2025,PS2,,,
14,Tony Hawks Underground,6 Hours?,15/07/2025,20/07/2025,Xbox,,,
15,Tony Hawks Underground 2,8 Hours?,29/07/2025,05/08/2025,PS2,,,
16,Tony Hawks American Wasteland,7 Hours?,11/08/2025,13/08/2025,Xbox,,,
17,Tony Hawks Project 8,,,,Xbox 360,,,
18,Tony Hawks Proving Ground,,,,Xbox 360,,,
19,Tony Hawks Downhill Jam,,,,PS2,,,
20,Tony Hawks Pro Skater 1+2,,,,PS4,,,
21,Tony Hawks Pro Skater 3+4,,,,PC(Xbox),,,
,,,,,,,,
22,TimeSplitters,1 Hour?,06/07/2025,07/07/2025,PS2,,,
23,Curious George,3 Hours?,15/07/2025,15/07/2025,PS2,,,
24,Half-Life Alyx,14 Hours?,16/07/2025,28/07/2025,PC (Steam VR),,,
25,Batman Arkham City,12 Hours?,09/08/2025,11/08/2025,Xbox 360,,,
26,Batman Arkham Knight (100%),30 Hours?,14/08/2025,29/08/2025,Xbox One,,,
27,Skate.,6 Hours?,30/08/2025,30/08/2025,Xbox 360,,,
28,Dark Fall: Ghost Vigil,15 Hours,30/08/2025,01/09/2025,PC (Steam),,,
29,Batman Arkham Knight (DLC),7 Hours,06/09/2025,07/09/2025,PC (Steam Family),,,
30,Bioshock,12 Hours?,06/09/2025,19/09/2025,Xbox 360,,,
31,Myst,9 Hours,07/09/2025,24/09/2025,PC (GOG),,,
32,Bioshock 2,12 Hours?,20/09/2025,29/09/2025,PS3,,,
33,Mad Father (2020),4 Hours,24/09/2025,24/09/2025,PC (Steam Family),,,
34,Misau (2024),3 Hours,26/09/2025,27/09/2025,PC (Steam Family),,,
35,Silent Hill F,10 Hours,30/09/2025,13/10/2025,PS5,,,
36,Resident Evil 7 + dlc,16 Hours,16/10/2025,22/10/2025,PS5,,,
37,Resident Evil 8 + dlc,11 Hours,23/10/2025,01/11/2025,PS5,,,
38,Silent Hill 2,8 Hours,02/11/2025,05/11/2025,PS2,,,
39,Ghost of tschuima ,,06/11/2025,,PS5,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,